Año,Fecha (dd/mm/aaaa),Moneda,Continente,Id Moneda,Tipo de cambio,Tipo de tasa,Valor
2010,2010-11-27,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7257"
2010,2010-11-27,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1104,61841"
2010,2010-11-27,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1105,77491"
2010,2010-11-28,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,815"
2010,2010-11-28,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,818"
2010,2010-11-28,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"676,451379"
2010,2010-11-28,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"677,488449"
2010,2010-11-28,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,724699"
2010,2010-11-28,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7257"
2010,2010-11-28,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1104,61841"
2010,2010-11-28,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1105,77491"
2010,2010-11-29,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,825"
2010,2010-11-29,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,827999"
2010,2010-11-29,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"674,059399"
2010,2010-11-29,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"675,090259"
2010,2010-11-29,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7292"
2010,2010-11-29,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7299"
2010,2010-11-29,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1101,936519"
2010,2010-11-29,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1102,89729"
2010,2010-11-30,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,831999"
2010,2010-11-30,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,834"
2010,2010-11-30,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"676,24206"
2010,2010-11-30,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"677,065669"
2010,2010-11-30,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7196"
2010,2010-11-30,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7202"
2010,2010-11-30,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1114,097189"
2010,2010-11-30,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1115,05582"
2010,2010-12-01,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,827"
2010,2010-12-01,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,827999"
2010,2010-12-01,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"683,231959"
2010,2010-12-01,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"683,792"
2010,2010-12-01,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,707"
2010,2010-12-01,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7077"
2010,2010-12-01,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1131,451659"
2010,2010-12-01,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1132,44288"
2010,2010-12-02,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,825"
2010,2010-12-02,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,827999"
